company,product name ,category,ingredients,link,total number of reviews,product rate 
Bumble and bumble,Sumotech,"Home
Hair
Styling Products
Wax & Pomade","Water\Aqua\Eau, Lanolin Wax\Lanolin Cera\Cire De Lanoline, Cetearyl Alcohol, PVP, Tribehenin, Tridecyl Stearate, Glycerin, Alcohol Denat., Tridecyl Trimellitate, PEG-8 Beeswax, Ceteareth-25, Dipentaerythrityl Hexacaprylate/Hexacaprate, PEG-40 Castor Oil, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Tetrasodium EDTA, Phenoxyethanol, Potassium Sorbate, Benzyl Benzoate, Hexyl Cinnamal, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Eugenol, Linalool, Fragrance (Parfum).
Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://www.ulta.com/p/sumotech-xlsImpprod16451084?sku=2516168,0,4.3
Dionis,Coconut Cream Goat Milk Lip Balm,"Home
Skin Care
Moisturizers
Lip Care","Beeswax, Helianthus Annuus (Sunflower) Seed Oil, Cocos Nucifera (Coconut) Oil, Flavor, Butyrospermum Parkii (Shea) Butter, Goat Milk, Ricinus Communis (Castor) Seed Oil, Ammonium Glycyrrhizate, Tocopherol, Citric Acid.",https://www.ulta.com/p/coconut-cream-goat-milk-lip-balm-xlsImpprod17911075?sku=2522707,0,4.5
Jack Black,Intense Therapy Lip Balm SPF 25,"Home
Men
Skin Care
Moisturizers & Treatments","Shea & Vitamin E: Active: Avobenzone 3.0%, Octinoxate 7.5%, Petrolatum 40.2%.
Inactive: Theobroma Cacao (Cocoa) Seed Butter, Lanolin, Beeswax, Ozokerite, Polyglyceryl-3 Beeswax, Butyrospermum Parkii (Shea) Butter, Flavor, Persea Gratissima (Avocado) Oil, C18-38 Alkyl Hydroxystearol Stearate, Tocopheryl Acetate, Cyclopentasiloxane, Microcrystalline Wax, Camellia Sinenesis (Green Tea) Leaf Extract, Cyclohexasiloxane.
As part of Jack Black's commitment to always offer the highest quality products, some of the ingredients in their formulations may be updated from time to time. The ingredient list shown here may vary from product packaging, depending on the location and timing of purchase.",https://www.ulta.com/p/intense-therapy-lip-balm-spf-25-xlsImpprod3730169?sku=2250710,0,4.7
Dionis,Goat Milk & Honey Lip Balm,"Home
Skin Care
Moisturizers
Lip Care","Beeswax, Helianthus Annuus (Sunflower) Seed Oil, Cocos Nucifera (Coconut) Oil, Flavor,Butyrospermum Parkii (Shea) Butter,Goat Milk, RicinusCommunis (Castor) Seed Oil, AmmoniumGlycyrrhizate, Tocopherol, Citric Acid.",https://www.ulta.com/p/goat-milk-honey-lip-balm-xlsImpprod13681871?sku=2299510,0,4.3
MAC,Studio Finish SPF 35 Concealer,"Home
Makeup
Face
Concealer","NC15: Octinoxate 5.00%, Titanium Dioxide 2.00% Octyldodecanol, Synthetic Beeswax, Copernicia Cerifera (Carnauba) Wax, Silica, Hydrogenated Polyisobutene, Simmondsia Chinensis (Jojoba) Seed Oil, Tocopherol, Ascorbyl Palmitate, Polybutene, PVP / Hexadecene Copolymer, Alumina, Stearic Acid. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Chromium Oxide Greens (CI 77288).",https://www.ulta.com/p/studio-finish-spf-35-concealer-xlsImpprod15921236?sku=2510642,0,4.4
Mario Badescu,Rose Lip Balm,"Home
Skin Care
Moisturizers
Lip Care","Hydrogenated Polydecene, Cocoglycerides, Ethylene/ Propylene/ Styrene Copolymer, Dimethicone, Brassica Glycerides, Persea Gratissima (Avocado) Oil, Glyceryl Behenate, Microcrystalline Cellulose, Polyhydroxystearic Acid, Jojoba Esters, Helianthus Annuus (Sunflower) Seed Wax, Theobroma Cacao (Cocoa) Seed Butter, Butyrospermum Parkii (Shea) Butter, Dimethicone/Vinyl Dimethicone Crosspolymer, Aloe Barbadensis Leaf Extract, Cocos Nucifera (Coconut) Oil, Glyceryl Rosinate, Beeswax, Hydrogenated Vegetable Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Butylene/ Ethylene/ Styrene Copolymer, Linoleic Acid, Dimethicone Crosspolymer, Acacia Decurrens Flower Cera, Oleo Europaea (Olive) Oil Unsaponifiables, Linolenic Acid, Raspberry Seed Oil / Tocopheryl Succinate Aminopropanediol Esters, Polyglycerin-3, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Silica, Silica Silylate, Chamomilla Recutita (Matricaria) Flower Extract, Tetrahexyldecyl Ascorbate, Tocopherol, Parfum (Fragrance).",https://www.ulta.com/p/rose-lip-balm-pimprod2005414?sku=2545358,0,4.4
Dionis,Watermelon Burst Goat Milk Lip Balm,"Home
Makeup
Lips
Lip Tints & Balms","Beeswax, Helianthus Annuus (Sunflower) Seed Oil, Cocos Nucifera (Coconut) Oil, Flavor, Butyrospermum Parkii (Shea) Butter, Goat Milk, Ricinus Communis (Castor) Seed Oil, Ammonium Glycyrrhizate, Tocopherol, Citric Acid.",https://www.ulta.com/p/watermelon-burst-goat-milk-lip-balm-pimprod2037706?sku=2607660,0,5
Dionis,Peppermint Twist Goat Milk Lip Balm,"Home
Skin Care
Moisturizers
Lip Care","Beeswax, Helianthus Annuus (Sunflower) Seed Oil, Cocos Nucifera (Coconut) Oil, ButyrospermumParkii (Shea) Butter,Flavor,Goat Milk,Ricinus Communis (Castor) SeedOil,AmmoniumGlycyrrhizate,Tocopherol,Citric Acid",https://www.ulta.com/p/peppermint-twist-goat-milk-lip-balm-xlsImpprod13681869?sku=2299509,0,4.6
Dionis,Vanilla Bean Goat Milk Lip Balm,"Home
Skin Care
Moisturizers
Lip Care","Beeswax, Helianthus Annuus (Sunflower) Seed Oil, Cocos Nucifera (Coconut) Oil, Flavor,Butyrospermum Parkii (Shea) Butter,Goat Milk,RicinusCommunis (Castor) Seed Oil,AmmoniumGlycyrrhizate,Tocopherol,Citric Acid",https://www.ulta.com/p/vanilla-bean-goat-milk-lip-balm-xlsImpprod13681873?sku=2299511,0,4.6
Dionis,Sweet Berry Goat Milk Lip Balm,"Home
Skin Care
Moisturizers
Lip Care","Beeswax, Helianthus Annuus (Sunflower) Seed Oil, Cocos Nucifera (Coconut) Oil, Flavor, Butyrospermum Parkii (Shea) Butter,Goat Milk, Ricinus Communis (Castor) Seed Oil, Ammonium Glycyrrhizate, Tocopherol, Citric Acid.",https://www.ulta.com/p/sweet-berry-goat-milk-lip-balm-xlsImpprod13681879?sku=2299514,0,4.6
Duke Cannon Supply Co,News Anchor Fiber Pomade,"Home
Men
Hair
Styling","Water (Aqua), Emulsifying Wax, Ceteareth-20, Cera Alba (Beeswax), Cetyl Alcohol, Glycerin, Kaolin, C26-28 Alkyl Dimethicone, Lanolin Wax, PEG-40 Hydrogenated Caster Oil, Fragrance (Parfum), Maltodextrin/VP Copolymar, PVP, Phenoxyethenol, Carbomer, Aminomethyl Propanol, Caprylyl Glycal, Quaternium-91, Cetearyl Alcohol, Cetrimonium Methosulfate, PEG-45m,Tocopheryl Acetate, Sorbic Acid, Ethylhexylglycerin.",https://www.ulta.com/p/news-anchor-fiber-pomade-pimprod2002333?sku=2540521,0,5
Jaclyn Cosmetics,In Line Eyeliner Pencil,"Home
Makeup
Eyes
Eyeliner","Hydrogenated Polyisobutene, Isododecane, Synthetic Wax, Polymethylsilsesquioxane, Polybutene, Silica, Hydrogenated Polydicyclopentadiene, Oryza Sativa Cera, Hydrogenated Castor Oil, Synthetic Beeswax Ethylene/Propylene Copolymer, Pentaerythrityl Tera-Di-T-Butyl Hydroxyhydrocinnamate, Iron Oxides (CI 77499, 77491, 77492), Mica.",https://www.ulta.com/p/in-line-eyeliner-pencil-pimprod2032865?sku=2593087,0,4.1
Winky Lux,Uni-Brow,"Home
Makeup
Eyes
Eyebrows","Glyceryl Stearate, Ascorbyl Palmitate, Hydrogenated Vegetable Oil, Synthetic Beeswax, Beeswax, Tocopherol, Titanium White (CI 77891), Black Iron Oxide (CI 77499), Copernicia Cerifera (Carnauba) Wax, Zinc Oxide (CI 77947), Red Iron Oxide (CI 77491), Yellow Iron Oxide (CI 77492).",https://www.ulta.com/p/uni-brow-pimprod2006577?sku=2549395,0,4.9
Laura Mercier,Caviar Stick Eyeshadow,"Home
Makeup
Eyes
Eyeshadow","Cyclopentasiloxane, Trimethylsiloxysilicate, Mica, Synthetic Fluorphlogopite, Polyethylene, Lauroyl Lysine, Ozokerite, Octyldodecanol, Synthetic Beeswax, Tocopherol, Lecithin, Ascorbyl Palmitate, Silica, Tin Oxide, Dicalcium Phosphate, Calcium Aluminum Borosilicate, Citric Acid, Calcium Sodium Borosilicate. May Contain: Titanium Dioxide (CI 77891), Aluminum Powder (CI 77000), Iron Oxides (CI 77491).",https://www.ulta.com/p/caviar-stick-eyeshadow-pimprod2012486?sku=2560116,0,4.6
Honest Beauty,Honestly Healthy Serum-Infused Lash Tint,"Home
Makeup
Eyes
Lash Primer & Serums","Clear: Water (Aqua/Eau), Beeswax (Cera Alba), Glycerin, Jojoba Esters, Copernicia Cerifera (Carnauba) Wax, Glyceryl Stearate, Cetyl Palmitate, Sorbitan Olivate, Sorbitan Palmitate, Castor Isostearate Beeswax Succinate, Cetearyl Alcohol, (Trifolium Pratense (Clover)/Vigna Radiata) Sprout Extract, Hydrolyzed Vegetable Protein, Ricinus Communis (Castor) Seed Oil, Cellulose Gum,Caprylyl Glycol, Pullulan, Hydroxyacetophenone, Xanthan Gum, 1,2-Hexanediol, Sodium Phytate, Trisodium Ethylenediamine Disuccinate, Tocopherol, Niacinamide, Panthenol, Sodium Carbonate, Methyl Dihydroabietate, Sodium Hydroxide.",https://www.ulta.com/p/honestly-healthy-serum-infused-lash-tint-pimprod2026304?sku=2587222,0,4.1
